SampleID,Horvath,Hannum,PhenoAge
TCGA.A2.A3XS.01A.11D.A230.05,40.18902763,60.19490861,55.84886916
TCGA.AQ.A1H2.01A.11D.A13K.05,65.48077203,67.02384982,92.85607098
TCGA.AC.A2QI.01A.12D.A19Z.05,59.17907958,91.61470533,80.8190518
TCGA.E9.A3QA.01A.61D.A22B.05,42.13949156,60.5828478,47.94120912
TCGA.GM.A2DA.01A.11D.A18O.05,69.08521834,65.28524223,61.78100876
TCGA.E9.A5FK.01A.11D.A27Y.05,78.45213902,79.57764985,59.64081347
TCGA.AN.A0XR.01A.11D.A10A.05,72.12739232,101.541287,138.7369404
TCGA.B6.A1KF.01A.11D.A13K.05,37.68861781,52.30835628,60.76256433
TCGA.AO.A12B.01A.11D.A10N.05,96.37434966,60.69839268,89.13404636
TCGA.D8.A1X5.01A.11D.A14H.05,95.21161917,105.3434476,124.9600982
TCGA.LL.A5YN.01A.11D.A28C.05,52.07919882,60.16740149,54.81735119
TCGA.A7.A56D.01A.11D.A27Y.05,62.43872137,85.20115969,85.8206923
TCGA.E9.A1ND.01A.11D.A145.05,49.46322932,66.45300553,84.26074489
TCGA.BH.A0DK.01A.21D.A10P.05,86.06296306,109.0272211,108.837479
TCGA.A7.A4SC.01A.12D.A268.05,95.77930559,112.3898986,136.3551268
TCGA.EW.A1IZ.01A.11D.A13K.05,60.60432557,60.26459008,68.04049964
TCGA.A2.A4RX.01A.11D.A268.05,59.89435786,47.62486026,55.10201256
TCGA.AO.A129.01A.21D.A10N.05,38.84107171,38.44544694,66.58098202
TCGA.OL.A5D7.01A.11D.A27Y.05,62.47300855,84.0910401,98.51894666
TCGA.BH.A0H6.01A.21D.A10P.05,65.56996156,58.47348403,76.92519654
TCGA.E9.A2JT.01A.22D.A18O.05,65.37151215,72.06158954,49.3498502
TCGA.AR.A0TP.01A.11D.A10P.05,41.89764422,62.10857175,72.04287759
TCGA.E2.A1IL.01A.11D.A14H.05,75.16694923,53.25798582,42.25480868
TCGA.OL.A66N.01A.12D.A31V.05,97.80545198,85.34486051,138.7303239
TCGA.AC.A2FE.01A.11D.A19Z.05,78.56489309,86.19105346,98.11108064
TCGA.B6.A0WW.01A.11D.A10A.05,66.4657225,54.30321803,138.8139593
TCGA.E2.A1L8.01A.11D.A13K.05,74.76696052,80.35317039,79.39201566
TCGA.E2.A1IH.01A.11D.A13K.05,80.08334073,54.3139374,69.85928013
TCGA.AC.A23G.01A.11D.A212.05,58.05430948,68.0601243,71.79170789
TCGA.GM.A2DL.01A.11D.A18O.05,73.83464156,88.3060476,71.76336789
TCGA.E2.A106.01A.11D.A10N.05,48.08718795,79.75913853,41.93131667
TCGA.D8.A27P.01A.11D.A16G.05,53.68786612,71.58089365,56.93969136
TCGA.AR.A0TZ.01A.12D.A10P.05,67.80967179,82.88874888,101.4159626
TCGA.AN.A0XN.01A.21D.A10A.05,114.1159409,95.54213531,188.0815221
TCGA.A2.A0T5.01A.21D.A10P.05,56.08989617,75.58454276,98.0562202
TCGA.E2.A573.01A.11D.A29O.05,47.59090075,54.4948072,47.34287372
TCGA.AR.A1AY.01A.21D.A12R.05,68.48081785,80.29797905,138.7354746
TCGA.E9.A1N9.01A.11D.A14H.05,13.8112283,31.33510311,26.03747588
TCGA.E9.A1N5.01A.11D.A14H.05,49.84496194,61.5488434,53.74273511
TCGA.AC.A3TN.01A.11D.A22B.05,69.5114782,93.51132991,76.54986997
TCGA.D8.A4Z1.01A.21D.A268.05,73.19294051,59.21731165,60.93911377
TCGA.BH.A1FR.01A.11D.A13K.05,73.841619,98.62521187,46.8157435
TCGA.E2.A10B.01A.11D.A10N.05,75.40706017,88.81462604,93.66138221
TCGA.E2.A2P6.01A.11D.A19Z.05,91.70938815,74.10504876,122.4770055
TCGA.BH.A0E2.01A.11D.A10P.05,81.49261647,99.06179206,140.9800648
TCGA.A7.A4SD.01A.11D.A268.05,46.96899619,42.05893481,47.77898558
TCGA.D8.A1XQ.01A.11D.A14N.05,60.24143573,44.37356581,71.68871903
TCGA.BH.A0E1.01A.11D.A10P.05,74.93130676,106.7437017,86.84918975
TCGA.GM.A2DC.01A.11D.A18O.05,105.6357128,96.33936983,119.6626615
TCGA.EW.A1OX.01A.11D.A145.05,96.7655143,131.5353227,132.0885381
TCGA.LD.A66U.01A.11D.A31V.05,66.69735054,66.37500611,72.12601844
TCGA.E9.A1RD.01A.11D.A161.05,70.07337143,81.11249549,94.67092634
TCGA.E9.A22B.01A.11D.A161.05,76.45042076,62.53825692,77.52302698
TCGA.BH.A0DG.01A.21D.A12R.05,62.39277767,77.35396242,98.08853498
TCGA.E9.A3HO.01A.11D.A212.05,80.67118727,73.24996236,107.4999088
TCGA.B6.A2IU.01A.32D.A18O.05,56.36899358,83.22941001,74.09758112
TCGA.BH.A1FC.01A.11D.A13K.05,85.62794174,82.36182916,108.5781996
TCGA.AO.A1KR.01A.12D.A145.05,72.93401869,81.3079052,114.1141921
TCGA.BH.A0HP.01A.12D.A10P.05,82.16608733,65.69929616,125.6637423
TCGA.A2.A1FZ.01A.51D.A14H.05,67.82532121,71.25527374,95.96515996
TCGA.BH.A0HY.01A.11D.A10P.05,91.85259464,98.12657453,169.3410546
TCGA.AQ.A1H3.01A.31D.A13K.05,68.55763133,83.80869779,81.13440285
TCGA.B6.A40B.01A.11D.A23D.05,72.7476442,84.05337784,94.69402406
TCGA.BH.A0BA.01A.11D.A10P.05,38.55506214,56.27362044,47.34350732
TCGA.BH.A1ET.01A.11D.A138.05,78.21218222,67.54293982,59.79255203
TCGA.BH.A0DV.01A.21D.A12R.05,66.67769236,76.55253125,63.1822319
TCGA.LD.A74U.01A.13D.A33F.05,70.040464,78.35909422,91.12191848
TCGA.E9.A226.01A.21D.A161.05,24.76699437,47.30587926,68.4641729
TCGA.LD.A7W6.01A.81D.A357.05,96.83067161,93.0902224,100.7661394
TCGA.OL.A6VO.01A.12D.A33F.05,57.0129069,34.49830842,87.63668595
TCGA.D8.A27L.01A.11D.A16G.05,51.99410095,59.45737298,59.11701657
TCGA.D8.A1J8.01A.11D.A13K.05,69.36114961,94.61039532,86.82456994
TCGA.A7.A6VW.01A.21D.A33F.05,12.98410123,49.73557666,35.60962522
TCGA.PL.A8LX.01A.11D.A41Q.05,81.42447053,100.2574214,116.9849976
TCGA.XX.A899.01A.11D.A36K.05,69.05845583,70.11895714,79.84265303
TCGA.AQ.A04H.01B.11D.A10N.05,52.3253245,99.65579673,157.1850338
TCGA.A2.A0EU.01A.22D.A10P.05,65.03419184,84.89492562,82.71009937
TCGA.PE.A5DE.01A.11D.A27Y.05,58.9491357,66.47443854,58.56895962
TCGA.A8.A0A6.01A.12D.A10P.05,96.94064325,86.63489084,106.9994636
TCGA.E9.A245.01A.22D.A16G.05,65.45235529,83.47207717,58.19994272
TCGA.E9.A1RA.01A.11D.A14H.05,67.28605382,63.15381793,61.20329272
TCGA.EW.A1PF.01A.11D.A145.05,54.46645607,54.19301568,40.88815472
TCGA.AC.A3W6.01A.12D.A22B.05,76.10576995,66.70372056,68.35232117
TCGA.S3.AA17.01A.11D.A41Q.05,94.28122177,99.17239982,137.6710023
TCGA.A1.A0SF.01A.11D.A145.05,62.07527465,61.32328019,74.2978704
TCGA.AO.A125.01A.11D.A10N.05,75.86397979,61.59675147,131.5278898
TCGA.AR.A2LK.01A.11D.A17Z.05,80.39717637,73.08472877,124.4660434
TCGA.D8.A1X9.01A.12D.A161.05,102.3701153,110.8334387,101.5729525
TCGA.D8.A73U.01A.11D.A33F.05,89.89966697,88.88159442,71.28374362
TCGA.D8.A1Y1.01A.21D.A14N.05,68.45451758,71.32323935,110.1259816
TCGA.A2.A4S3.01A.21D.A268.05,58.46930428,51.87340282,42.19114281
TCGA.AR.A1AI.01A.11D.A12R.05,56.16235049,50.78752079,70.07481932
TCGA.AR.A1AQ.01A.11D.A12R.05,54.40225218,52.03522789,74.98503607
TCGA.AC.A6IW.01A.12D.A33F.05,59.14116692,51.61846248,87.28602056
TCGA.B6.A40C.01A.11D.A23D.05,78.849646,86.47379874,97.55449898
